,ID,subscricao
0,0aef4d9c-3fcb-4f49-829d-a92d9b513494,0
1,75e7cb37-5603-4556-86e2-f051ab1655fa,0
2,e1f11a4c-6d6c-4931-8220-f2ca00b9b89b,0
3,fbcd8c13-2a82-4808-a629-189f651a0de2,0
4,f6a72399-5de8-4f19-9a6d-ee66486146b4,0
5,1bac97ac-b2cf-4386-8cbb-2100995ef94d,0
6,becb46d5-b44f-4b41-81f9-140f262f1c60,0
7,5b00c38b-1570-4b15-9bf3-b1cd8177294d,0
8,d1880017-a0bf-43fe-8505-5ed5fc373a45,1
9,6bb5ed0c-d9e3-4e1b-95b1-4c836b4a2855,0
10,bbaa7d43-4ebb-407d-9a34-c3d47a19b9a4,0
11,16281c6c-ca3c-4da1-9ee9-c657060ccc93,0
12,07385002-4225-459e-8b02-eab1c0a1e87a,0
13,71161a03-b231-4cf1-893d-072be5ef85a9,0
14,de040f59-615b-415a-8c73-453e34cb1e3a,1
15,96ae8f39-9532-4687-88a6-e6f237e6596e,0
16,9a0292d3-152b-4962-abb3-077990283706,0
17,eb2673c5-3039-42f9-a6e4-6421246073ce,0
18,3530471d-d105-477f-beb2-bde577e2fc6a,0
19,e0b75f42-d572-4638-9348-22994bea7330,0
20,14ecfff5-4500-4755-b946-1d664c4cab5f,0
21,012c652d-a31f-4b9e-b86c-7ac2138d3afa,1
22,96486087-abd2-4e82-bc6b-1eceb2049879,1
23,59b50b80-aa28-479f-9a94-9fa8da95deee,0
24,a97bb440-a18a-4104-b895-dcf8416ace96,0
25,b7bbc095-5ce4-4b08-81f9-c0adace7aab3,0
26,42ebaf2b-511f-413f-b9bb-87e589561c6f,0
27,29caf23b-91ab-4eae-a2a1-cf6b5f7bf65c,0
28,d99f798f-12f5-4716-8d90-3d00918a2bcf,0
29,aef2b0e4-fe50-4cba-bc1b-ff2865d1b8d3,0
30,19d73124-a9bc-4e2d-8f42-11a167999f45,0
31,4d9d71c2-68fd-4ea6-a077-6a961cfbd86f,0
32,e6b9e792-1074-4225-8178-2bf368c429c2,0
33,c4559d59-aa90-4cb4-a8bb-b985de53e1c3,0
34,5e4f6b56-6c9a-47f4-8261-6f59d888ee40,0
35,1010aee5-7f72-4e3a-bd4e-078581d5c971,0
36,ba538d78-a20e-40ca-ac9d-d2e02d15d336,0
37,71f6da60-4b2e-4a6d-8d19-720f42ab46ef,0
38,28eb57c8-33f2-4639-bc2f-2bf6dd0abaf7,0
39,dde6a7f1-9cfe-4e37-acea-c77c92027e76,0
40,8a70fafa-bae5-4a4a-86ae-d87e5f2a87d6,0
41,71e866a3-5bf3-4d56-a384-755da0123c47,0
42,2a9b1c12-2a03-4199-8057-06850f71d977,0
43,6b4dd5e8-b213-4abc-a739-3e434fedebcd,0
44,35b6dda2-2155-4bf6-b41d-c277d2de44ff,0
45,0b76ce10-717f-4342-900f-226c2c6eb9be,0
46,5dee955d-0857-4206-a31a-10de9686adf2,0
47,4feccfb9-d67a-43a1-be14-d970aa3e5236,0
48,116a81fa-4a22-4f36-be86-d9591698b4b1,0
49,b54d4713-8276-40c3-bbb6-27d60c365e98,0
50,b2778877-9766-47a5-897d-2cdf9ac3b131,0
51,380b0eff-8038-4ba5-b20a-0a3ee7ed7103,0
52,6fde696b-764a-4ebf-81eb-cbfde86e9643,1
53,896ae0c3-7ef6-422d-a2c3-3a61f76934e7,0
54,b4505a8a-ab30-4580-a8a3-9786aa1a7df9,0
55,37a7b4ee-5e5b-4de2-ba9f-ce9b1a5c7353,1
56,a43d5dff-60a1-4e7b-912e-f8c2dd40978f,0
57,f97d134c-fa7c-4ee2-9539-183bb0201513,0
58,2a639941-8d05-4386-b4ff-e46a7b83b813,1
59,8e641177-8517-480d-9308-415eceb35bdb,0
60,19c2ae27-dd90-4f1f-96a5-8024b50ac1a1,1
61,ef0a5012-78fc-4fb0-9bed-9f7f391f2099,0
62,cad8d359-91bb-401d-b4c4-7eb05a71b924,1
63,83429685-b102-4fda-8754-ab9363634989,0
64,017a185d-69cc-40e4-a632-da9552ede4cb,0
65,b152e954-9194-4e39-a203-5d78cff44b88,0
66,12b107f0-1045-4d71-8cf7-3eaaa6d48757,0
67,598c3721-8fc3-4ea8-abb0-74c37c8b6de8,1
68,a3f768bb-8922-4ee0-9dc7-3271db37e1cb,0
69,45d19a42-4b10-4616-bde4-6a40b89f3ce9,0
70,7a7065cd-d744-4d90-a6eb-04b3e544180c,0
71,682b8b4f-1516-4adf-b1d0-10306b976d62,0
72,6538d46c-2731-4645-8ee3-19c6bfe1bd34,0
73,699f136e-de55-4c9e-b09b-afe115c1b27a,0
74,dd9233ec-6ce3-449d-a4c3-493884af8e1c,0
75,3a843637-a7cf-4d84-bf44-3328381d801e,0
76,baa9c2a3-b8fe-46ea-9be1-8eee29987960,0
77,87517d08-2304-4fb9-a7d1-57c1b8fda7cb,0
78,c458f26c-c5cc-4cdd-a55f-adc485d0a502,0
79,f0cd356c-29d1-4373-9407-3dfcb87a7f5d,0
80,f67c44de-33e0-401a-9e27-70ecf1c8ae91,0
81,5328418f-2f13-4840-8047-93afe393fc1e,0
82,0252414e-9671-472a-8e84-78e0700d03f2,0
83,6ebb68ed-f06e-4c8e-9dd1-f3a1ffd7057d,0
84,266517f8-c2d0-4fa6-a229-bf4acfba82d6,0
85,34dac6cc-7c4d-4417-82de-627a8354bd2b,0
86,58873d49-10a0-4d07-ae14-d14549fca13f,0
87,2a64ad24-2db0-46de-a9f8-591d3ea58fc1,0
88,9e93841c-c147-4f48-b6b0-5e5db982c8ce,0
89,0384a0e8-10e5-4608-a1fd-04d7ee7624a1,0
90,cd729953-0407-4cb2-88b9-22b29cbf8333,0
91,6b357504-0937-41a6-8da3-e9b8eb25b526,0
92,691f5ebd-414b-4611-9626-98d8121842fd,0
93,416003ce-b80f-4363-a4d8-520f1f2e147e,0
94,3aa4e74b-c16e-450f-bcb1-124c393e892f,1
95,472282d5-907f-49f0-8e9f-57d572a9aa63,0
96,556ba150-f65e-4a1e-8d41-3e04199ff10c,0
97,5d0c0d77-bf64-4844-b986-db865ee7a025,0
98,978adfca-5862-4a3b-95b7-af40a4f971d9,0
99,26afb4ee-5432-4bdd-a124-b7f4841f6275,0
100,cb17d8a8-2945-4200-bfe4-73fbff571681,0
101,9dc03597-eb19-4452-90fa-fd3b6dbfdb6c,1
102,ccb19034-e981-4567-9515-98ad3c5035e5,0
103,c73501fe-7437-4a0f-abba-427c445c5b19,0
104,7578cec1-9ded-482d-92ff-66f99f2b324f,0
105,931d0e57-1870-4a1b-b6a2-0788c6833cc6,0
106,d456e4a3-76b6-49ff-ad93-f9aed8c1985b,0
107,1b1a4600-a160-4176-abb0-476bdcdeffd5,0
108,ecc8eec2-95de-49ae-83f6-75a03a207683,0
109,482f750a-a10c-460f-9345-2232bd56c423,0
110,4fe4875e-ac22-45f6-902c-0b20c7e3a34e,0
111,9865207b-2de4-4442-89d3-30ce21fab375,0
112,2704f887-20f6-4f3f-9da7-c15fe52f5005,0
113,a7b0f7f2-1261-4326-8c7b-ecaaf6c1d7b1,0
